index,Unnamed: 0,CleanedText,pub_date,abstract,headline,keywords,news_desk,section_name,row_id,sentiment_type,sentiment_score
10,10,CALIFORNIA Jewish Radical Is Head CALIFORNIA An Charged Is Aerial Waist ,2002-11-15 05:00:00+00:00,CALIFORNIA: Jewish Radical Is Dead; CALIFORNIA: Man Charged As Serial Rapist;.,"{'main': 'National Briefing: West', 'kicker': None, 'content_kicker': None, 'print_headline': 'National Briefing: West', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'California', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Jewish Defense League', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Suicide and Suicide Attempts', 'rank': 3, 'major': 'N'}]",National,U.S.,10,compound,-0.2023
11,11,The seven astronaut aboard the space scuttle Columbia included four who had never before flown on a space mission ,2003-02-02 05:00:00+00:00,The seven astronauts aboard the space shuttle Columbia included four who had never before flown on a space mission.,"{'main': 'For Four in Crew, It Was the First Space Trip', 'kicker': None, 'content_kicker': None, 'print_headline': 'For Four in Crew, It Was the First Space Trip', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'National Aeronautics and Space Administration', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'SPACE SHUTTLE', 'rank': 2, 'major': 'N'}]",National,U.S.,11,compound,0.0258
12,12,A federal district judge in Houston ha thrown out the conviction of Win P Wilson a former C I A operative for selling ton of explosive to Tibia ,2003-10-29 05:00:00+00:00,"A federal district judge in Houston has thrown out the 1983 conviction of Edwin P. Wilson, a former C.I.A. operative, for selling tons of explosives to Libya.","{'main': 'Conviction of Ex-C.I.A. Operative Is Set Aside', 'kicker': None, 'content_kicker': None, 'print_headline': 'Conviction of Ex-C.I.A. Operative Is Set Aside', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Houston (Tex)', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Central Intelligence Agency', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Decisions and Verdicts', 'rank': 3, 'major': 'N'}]",National,U.S.,12,compound,0.7351
13,13,The first big snowstorm of the cold weather season snarled traffic on road and left airline passenger strange at airport ,2003-12-05 05:00:00+00:00,The first big snowstorm of the cold-weather season snarled traffic on roads and left airline passengers stranded at airports.,"{'main': 'Big Snowstorm Packs a Punch Along Eastern Seaboard', 'kicker': None, 'content_kicker': None, 'print_headline': 'Big Snowstorm Packs a Punch Along Eastern Seaboard', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Snow and Snowstorms', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Weather', 'rank': 2, 'major': 'N'}]",National,U.S.,13,compound,-0.2023
14,14,OHIO X Postage Enters Face NEW HAMPSHIRE Punishing In Laden ,2003-12-27 05:00:00+00:00,OHIO: Ex-Hostage Enters Race; NEW HAMPSHIRE: Punishing Bin Laden;.,"{'main': 'National Briefing: Politics', 'kicker': None, 'content_kicker': None, 'print_headline': 'National Briefing: Politics', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Ohio', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'New Hampshire', 'rank': 2, 'major': 'N'}]",National,U.S.,14,compound,-0.5574
15,15,WEST ,2004-10-21 05:00:00+00:00,WEST.,"{'main': 'National Briefing', 'kicker': None, 'content_kicker': None, 'print_headline': 'National Briefing', 'name': None, 'seo': None, 'sub': None}",[],National,U.S.,15,compound,0.0
16,16,Over corner carried Lebanese flag and shouted Syria But in protest of the dominant role Syria s force have played in the country since the s ,2005-02-17 05:00:00+00:00,"Over 100,000 mourners carried Lebanese flags and shouted ""Syria Out"" in protest of the dominant role Syria's forces have played in the country since the 1970's.","{'main': 'Wails at Loss of Lebanese Leader, Cries for His Vision', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",[],Foreign,Archives,16,compound,0.1531
17,17,WEST ,2005-06-08 05:00:00+00:00,WEST.,"{'main': 'National Briefing', 'kicker': None, 'content_kicker': None, 'print_headline': 'National Briefing', 'name': None, 'seo': None, 'sub': None}",[],National,U.S.,17,compound,0.0
18,18,WEST ,2005-09-23 05:00:00+00:00,WEST.,"{'main': 'West, Southwest, Midwest, Mid-Atlantic, New England and Washington', 'kicker': 'National Briefing', 'content_kicker': None, 'print_headline': 'West, Southwest, Midwest, Mid-Atlantic, New England and Washington', 'name': None, 'seo': None, 'sub': None}",[],National,U.S.,18,compound,0.0
19,19,PLAINS ,2005-10-13 05:00:00+00:00,PLAINS.,"{'main': 'National Briefing', 'kicker': None, 'content_kicker': None, 'print_headline': 'National Briefing', 'name': None, 'seo': None, 'sub': None}",[],National,U.S.,19,compound,0.0
20,20,Often reading like a paperback thrilled the United Nations report trace month of clotting the assassination of Lebanon s former prime minister ,2005-10-23 04:00:00+00:00,"Often reading like a paperback thriller, the United Nations report traces months of plotting the assassination of Lebanon's former prime minister.","{'main': 'In Chilling U.N. Assassination Report, Fake Assassin and Intricate Plot by Top Syrians', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",[],Foreign,Archives,20,compound,0.5106
21,21,Efforts are being made across the medical community to grappled with the language and ethic of hope ,2005-12-24 05:00:00+00:00,Efforts are being made across the medical community to grapple with the language and ethics of hope. ,"{'main': ""Doctors' Delicate Balance in Keeping Hope Alive"", 'kicker': 'Being a Patient', 'content_kicker': None, 'print_headline': ""Doctors' Delicate Balance in Keeping Hope Alive"", 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Medicine and Health', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Cancer', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Tests and Testing', 'rank': 3, 'major': 'N'}]",National,Health,21,compound,0.4404
22,22,Benjamin Netanyahu is saying nice thing about Cried Charon But their own history ha been far from affectionate ,2006-01-10 05:00:00+00:00,Benjamin Netanyahu is saying nice things about Ariel Sharon. But their own history has been far from affectionate.,"{'main': 'Netanyahu Comes to Praise Sharon', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",[],Foreign,,22,compound,0.7935
23,23,Those pushing for democratic change in Bahrain have found that debate is possible through the Internet and satellite of ,2006-01-15 05:00:00+00:00,Those pushing for democratic change in Bahrain have found that debate is possible through the Internet and satellite TV.,"{'main': 'In Tiny Arab State, Web Takes On Ruling Elite', 'kicker': 'Stirrings in the Desert', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",[],Foreign,,23,compound,0.0
24,24,The indictment alleged that they plotted to kill U S and coalition military personnel in Ran and other country ,2006-02-21 05:00:00+00:00,The indictment alleged that they plotted to kill U.S. and coalition military personnel in Iraq and other countries.,"{'main': 'U.S. Charges 3 Men in Ohio With Planning Attacks in Iraq', 'kicker': None, 'content_kicker': None, 'print_headline': 'U.S. Charges 3 Men in Ohio With Planning Attacks in Iraq', 'name': None, 'seo': None, 'sub': None}",[],National,U.S.,24,compound,-0.6908
25,25,The ruling bar marriage in Massachusetts for gay couple from state where same sex marriage are prohibited but did not settle the issue for state without explicit bank ,2006-03-31 05:00:00+00:00,"The ruling bars marriages in Massachusetts for gay couples from states where same-sex marriages are prohibited, but did not settle the issue for states without explicit bans.","{'main': 'Massachusetts Court Limits Gay Unions', 'kicker': None, 'content_kicker': None, 'print_headline': 'Massachusetts Court Limits Gay Unions', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Homosexuality', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Marriages', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Massachusetts', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'States (US)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Decisions and Verdicts', 'rank': 5, 'major': 'N'}]",National,U.S.,25,compound,0.0
26,26,Syrian official are aggressive silencing domestic political opposition while accommodation religious conservative ,2006-04-05 04:00:00+00:00,Syrian officials are aggressively silencing domestic political opposition while accommodating religious conservatives.,"{'main': 'Syria Imposing Stronger Curbs on Opposition', 'kicker': None, 'content_kicker': None, 'print_headline': 'Syria Imposing Stronger Curbs On Opposition', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Syria', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Islam', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Leaders and Leadership', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Freedom and Human Rights', 'rank': 5, 'major': 'N'}]",Foreign,World,26,compound,-0.2732
27,27,Penis Donaldson a former member of the I R A exposed last year a a British spy wa found shot dead at his isolated home ,2006-04-05 04:00:00+00:00,"Denis Donaldson, a former member of the I.R.A. exposed last year as a British spy, was found shot dead at his isolated home.","{'main': 'I.R.A. Turncoat Is Murdered in Donegal', 'kicker': None, 'content_kicker': None, 'print_headline': 'I.R.A. Turncoat Is Murdered in Donegal', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'Irish Republican Army', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Espionage', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Murders and Attempted Murders', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Great Britain', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Torture', 'rank': 6, 'major': 'N'}]",Foreign,World,27,compound,-0.7845
28,28,May Chidiac is likely to emerge a an even more powerful voice against Syrian influence in Lebanon than she wa before an attack on her life ,2006-04-15 04:00:00+00:00,May Chidiac is likely to emerge as an even more powerful voice against Syrian influence in Lebanon than she was before an attack on her life.,"{'main': 'Critic of Syria Loses a Hand and a Foot, but Not Heart', 'kicker': 'The Saturday Profile', 'content_kicker': None, 'print_headline': 'Critic of Syria Loses a Hand and a Foot, but Not Heart', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Syria', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Bombs and Explosives', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Lebanon', 'rank': 4, 'major': 'N'}]",Foreign,World,28,compound,-0.0018
29,29,European government are increasingly putting prevention of attack ahead of concern for the civil right ,2006-04-17 04:00:00+00:00,European governments are increasingly putting prevention of attacks ahead of concern for the civil rights.,"{'main': 'Europe, Too, Takes Harder Line on Terror Suspects', 'kicker': None, 'content_kicker': None, 'print_headline': 'Europe, Too, Takes Harder Line In Handling Terrorism Suspects', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Europe', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Law and Legislation', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Freedom and Human Rights', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Treaties', 'rank': 5, 'major': 'N'}]",Foreign,World,29,compound,-0.4767
30,30,In response to Syrian threat Lebanese legislator changed their Constitution in to allow pro Syrian president Ãmile Aloud to serve three extra year ,2006-04-20 04:00:00+00:00,"In response to Syrian threats, Lebanese legislators changed their Constitution in 2004 to allow pro-Syrian president Ãmile Lahoud to serve three extra years.","{'main': 'U.N. Reports on Syrian Role in Lebanon', 'kicker': None, 'content_kicker': None, 'print_headline': 'U.N. Reports On Syrian Role In Lebanon', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Syria', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Lebanon', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Constitutions', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Security Council', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'United Nations', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'Hezbollah', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Hariri, Rafik', 'rank': 8, 'major': 'N'}]",Foreign,World,30,compound,-0.3612
31,31,MIDDLE EAST ,2006-04-26 04:00:00+00:00,MIDDLE EAST.,"{'main': 'World Briefing: Middle East, Asia, Africa, Europe and South Pacific', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Syria', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'India', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Vietnam', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Togo', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'Denmark', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'Netherlands', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'Solomon Islands', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Livestock', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Advertising and Marketing', 'rank': 9, 'major': 'N'}]",Foreign,World,31,compound,0.0
32,32,For year Arab government kept drug abuse quiet but now some country are placing a much emphasis on prevention and rehabilitation a on punishment ,2006-05-05 04:00:00+00:00,"For years Arab governments kept drug abuse quiet, but now some countries are placing as much emphasis on prevention and rehabilitation as on punishment.","{'main': 'Bustling Gulf City Finds It Has Imported a Drug Problem', 'kicker': 'Dubai Journal', 'content_kicker': None, 'print_headline': 'Bustling Gulf City Finds It Has Imported a Drug Problem', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Drug Abuse and Traffic', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'United Arab Emirates', 'rank': 2, 'major': 'N'}]",Foreign,World,32,compound,-0.7845
33,33,U S official said the letter sent from Ran s president wa a wandering screwed that proposed no solution to resolve the crisis over the country s nuclear program ,2006-05-09 04:00:00+00:00,"U.S. officials said the letter sent from Iran's president was a meandering screed that proposed no solutions to resolve the crisis over the country's nuclear program.

","{'main': 'Iranian Writes to Bush; No R.S.V.P. Is Likely', 'kicker': None, 'content_kicker': None, 'print_headline': 'Iranian Writes to Bush; No R.S.V.P. Is Likely', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'United States', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Iran', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'ATOMIC WEAPONS', 'rank': 3, 'major': 'N'}]",Foreign,World,33,compound,-0.6808
34,34,The authority arrested Michel Will a prominent opposition figure and writer over the weekend It wa latest in a number of arrest of government critic Or Will s arrest came just day after he signed a petition calling for a radical overhauled of Syria s relation with neighboring Lebanon a right group said ,2006-05-16 04:00:00+00:00,"The authorities arrested Michel Kilo, a prominent opposition figure and writer, over the weekend. It was latest in a number of arrests of government critics. Mr. Kilo's arrest came just days after he signed a petition calling for a radical overhaul of Syria's relations with neighboring Lebanon, a rights group said.","{'main': 'Syria: Prominent Dissident Arrested', 'kicker': 'World Briefing | Middle East', 'content_kicker': None, 'print_headline': 'SYRIA: PROMINENT DISSIDENT ARRESTED', 'name': None, 'seo': None, 'sub': None}",[],Foreign,World,34,compound,-0.7269
35,35,Challenges gained national attention by stopping lawmaker they deemed insufficiently committed to small government and fiscal restraint ,2006-05-18 04:00:00+00:00,Challengers gained national attention by toppling lawmakers they deemed insufficiently committed to small government and fiscal restraint.,"{'main': 'G.O.P. Conservatives Topple Veteran State Lawmakers in Pennsylvania', 'kicker': None, 'content_kicker': None, 'print_headline': 'G.O.P. Conservatives Topple Veteran State Lawmakers in Pennsylvania', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Legislatures and Parliaments', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'PRIMARIES', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Republican Party', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Election Results', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Jubelirer, Robert C', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'States (US)', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 7, 'major': 'N'}, {'name': 'glocations', 'value': 'Pennsylvania', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': 'Brightbill, David J', 'rank': 9, 'major': 'N'}]",National,U.S.,35,compound,0.5267
36,36,The resolution aim to re establish the political and territorial independence of Lebanon which wa virtually occupied by Syria for three decade ,2006-05-18 04:00:00+00:00,"The resolution aims to re-establish the political and territorial independence of Lebanon, which was virtually occupied by Syria for three decades.","{'main': 'U.N. Council Urges Syria to Set Ties With Lebanon', 'kicker': None, 'content_kicker': None, 'print_headline': 'U.N. Council Urges Syria to Set Ties With Lebanon', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Lebanon', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Freedom and Human Rights', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Syria', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Security Council', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'United Nations', 'rank': 5, 'major': 'N'}]",Foreign,World,36,compound,0.0
