index,Unnamed: 0,CleanedText,pub_date,abstract,headline,keywords,news_desk,section_name,row_id,sentiment_type,sentiment_score
10,10,A staff reporter for The New Work Times committed frequent act of journalist fraud while covering significant news event in recent month an investigation by Times journalist ha found The widespread fabrication and plagiarism represent a profound betrayal of trust and a low point in the year history of the newspaper The reporter Watson Clair misled reader and Times colleague with dispatch that supported to be from Maryland Texas and other state when often he wa far away in New Work He abdicated comment He connected scene He lifted material from other newspaper and wire service He selected detail from photograph to create the impression he had been somewhere or seen someone when he had not ,2003-05-11 05:00:00+00:00,"A staff reporter for The New York Times committed frequent acts of journalistic fraud while covering significant news events in recent months, an investigation by Times journalists has found. The widespread fabrication and plagiarism represent a profound betrayal of trust and a low point in the 152-year history of the newspaper.    The reporter, Jayson Blair, 27, misled readers and Times colleagues with dispatches that purported to be from Maryland, Texas and other states, when often he was far away, in New York. He fabricated comments. He concocted scenes. He lifted material from other newspapers and wire services. He selected details from photographs to create the impression he had been somewhere or seen someone, when he had not.  ","{'main': 'Times Reporter Who Resigned Leaves Long Trail of Deception', 'kicker': 'CORRECTING THE RECORD', 'content_kicker': None, 'print_headline': 'CORRECTING THE RECORD; Times Reporter Who Resigned Leaves Long Trail of Deception', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Maryland', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Texas', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'New York Times', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Blair, Jayson', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Suspensions, Dismissals and Resignations', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Plagiarism', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Biographical Information', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Ethics', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'News and News Media', 'rank': 9, 'major': 'N'}]",U.S.,U.S.,10,compound,0.4939
11,11,A staff reporter for The New Work Times committed frequent act of journalist fraud while covering significant news event in recent month an investigation by Times journalist ha found The widespread fabrication and plagiarism represent a profound betrayal of trust and a low point in the year history of the newspaper The reporter Watson Clair misled reader and Times colleague with dispatch that supported to be from Maryland Texas and other state when often he wa far away in New Work He abdicated comment He connected scene He lifted material from other newspaper and wire service He selected detail from photograph to create the impression he had been somewhere or seen someone when he had not ,2003-05-11 05:00:00+00:00,"A staff reporter for The New York Times committed frequent acts of journalistic fraud while covering significant news events in recent months, an investigation by Times journalists has found. The widespread fabrication and plagiarism represent a profound betrayal of trust and a low point in the 152-year history of the newspaper.    The reporter, Jayson Blair, 27, misled readers and Times colleagues with dispatches that purported to be from Maryland, Texas and other states, when often he was far away, in New York. He fabricated comments. He concocted scenes. He lifted material from other newspapers and wire services. He selected details from photographs to create the impression he had been somewhere or seen someone, when he had not.  ","{'main': 'Times Reporter Who Resigned Leaves Long Trail of Deception', 'kicker': 'CORRECTING THE RECORD', 'content_kicker': None, 'print_headline': 'CORRECTING THE RECORD; Times Reporter Who Resigned Leaves Long Trail of Deception', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Maryland', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Texas', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'New York Times', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Blair, Jayson', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Suspensions, Dismissals and Resignations', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Plagiarism', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Biographical Information', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Ethics', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'News and News Media', 'rank': 9, 'major': 'N'}]",U.S.,U.S.,11,compound,0.4939
12,12,Watson Clair committed frequent act of journalist fraud while covering significant news event in recent month an investigation by Times journalist ha found ,2003-05-11 05:00:00+00:00,"Jayson Blair committed frequent acts of journalistic fraud while covering significant news events in recent months, an investigation by Times journalists has found.","{'main': 'Times Reporter Who Resigned Leaves Long Trail of Deception', 'kicker': 'Correcting the Record', 'content_kicker': None, 'print_headline': 'Times Reporter Who Resigned Leaves Long Trail of Deception', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'The New York Times Co', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Blair, Jayson', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Newspapers', 'rank': 3, 'major': 'N'}]",National,U.S.,12,compound,0.128
13,13,WEST ,2004-05-19 05:00:00+00:00,WEST.,"{'main': 'National Briefing', 'kicker': None, 'content_kicker': None, 'print_headline': 'National Briefing', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'California', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Oklahoma', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Texas', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Georgia', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'Virginia', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'Louisiana', 'rank': 6, 'major': 'N'}]",National,U.S.,13,compound,0.0
14,14,The Palestinian leader also said that Crime Minister Cried Charon is speaking a different language to the Palestinians ,2005-02-14 05:00:00+00:00,"The Palestinian leader also said that Prime Minister Ariel Sharon is speaking ""a different language"" to the Palestinians.","{'main': 'Abbas Declares War With Israel Effectively Over', 'kicker': None, 'content_kicker': None, 'print_headline': 'Abbas Declares War With Israel Effectively Over', 'name': None, 'seo': None, 'sub': None}",[],Foreign,Archives,14,compound,-0.7269
15,15,WEST ,2005-08-23 05:00:00+00:00,WEST.,"{'main': 'West, Northwest, Plains, Midwest, South and Mid-Atlantic', 'kicker': 'National Briefing', 'content_kicker': None, 'print_headline': 'West, Northwest, Plains, Midwest, South and Mid-Atlantic', 'name': None, 'seo': None, 'sub': None}",[],National,U.S.,15,compound,0.0
16,16,Often reading like a paperback thrilled the United Nations report trace month of clotting the assassination of Lebanon s former prime minister ,2005-10-23 04:00:00+00:00,"Often reading like a paperback thriller, the United Nations report traces months of plotting the assassination of Lebanon's former prime minister.","{'main': 'In Chilling U.N. Assassination Report, Fake Assassin and Intricate Plot by Top Syrians', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",[],Foreign,Archives,16,compound,0.5106
17,17,NORTHWEST ,2005-11-26 05:00:00+00:00,NORTHWEST.,"{'main': 'National Briefs', 'kicker': None, 'content_kicker': None, 'print_headline': 'National Briefs', 'name': None, 'seo': None, 'sub': None}",[],National,U.S.,17,compound,0.0
18,18,The exiled political head of James said that the radical Islamic group would not submit to pressure to recognize Israel ,2006-01-29 05:00:00+00:00,"The exiled political head of Hamas said that the radical Islamic group would not ""submit to pressure to recognize Israel.""","{'main': 'Hamas Leader Sees No Change Toward Israelis', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",[],Foreign,,18,compound,0.2235
19,19,Russia warned the leader of the militant Palestinian group to recognize Israel or face isolation ,2006-03-04 05:00:00+00:00,Russia warned the leaders of the militant Palestinian group to recognize Israel or face isolation.,"{'main': 'Hamas Delegation Visits Moscow for a Crash Course in Diplomacy', 'kicker': None, 'content_kicker': None, 'print_headline': 'In Moscow, Hamas Delegation Gets a Warning and a Crash Course in Diplomacy 101', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Russia', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Hamas', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Palestinians', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Israel', 'rank': 4, 'major': 'N'}]",Foreign,World,19,compound,-0.5859
20,20,Ismail Anisya face not only diplomatic isolation and a bankrupt treasury but an intense rivalry with Path ,2006-04-07 04:00:00+00:00,Ismail Haniya faces not only diplomatic isolation and a bankrupt treasury but an intense rivalry with Fatah.,"{'main': 'Alone and Broke, Hamas Struggles to Rule', 'kicker': None, 'content_kicker': None, 'print_headline': 'Alone and Broke, Hamas Struggles to Rule', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Palestinians', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Hamas', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Haniya, Ismail', 'rank': 3, 'major': 'N'}]",Foreign,World,20,compound,0.0462
21,21,President Mahmoud Ahmadinejad said that Israel wa a constant threat and predicted that it wa on the verge of being eliminated ,2006-04-15 04:00:00+00:00,"President Mahmoud Ahmadinejad said that Israel was a ""constant threat"" and predicted that it was on the verge of ""being eliminated.""","{'main': 'Iranian Leader Renews Attack on Israel at Palestinian Rally', 'kicker': None, 'content_kicker': None, 'print_headline': 'Iranian Leader Renews Attack On Israel at Palestinian Rally', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Israel', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Iran', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'AHMADINEJAD, MAHMOUD', 'rank': 3, 'major': 'N'}]",Foreign,World,21,compound,-0.5267
22,22,Legal challenge in Israel resulted in temporary injunction against building the barrier in several part of Jerusalem ,2006-04-27 04:00:00+00:00,Legal challenges in Israel resulted in temporary injunctions against building the barrier in several parts of Jerusalem.,"{'main': 'Orders to Plug Gaps in Jerusalem Barrier', 'kicker': None, 'content_kicker': None, 'print_headline': 'Orders to Plug Gaps In Jerusalem Barrier', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Israel', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Palestinians', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Olmert, Ehud', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'JERUSALEM', 'rank': 4, 'major': 'N'}]",Foreign,World,22,compound,0.0772
23,23,Palestinian Authority employee percent of the population have not been paid in two month and tension in Papa are rising fast ,2006-05-11 04:00:00+00:00,"Palestinian Authority employees, 35 percent of the population, have not been paid in two months, and tensions in Gaza are rising fast.","{'main': 'As Gazans Wait for Aid, Their Situation Is Dire', 'kicker': None, 'content_kicker': None, 'print_headline': 'As Gazans Wait for Aid, Their Situation Is Dire', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'Hamas', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'United States', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Israel', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Palestinian Authority', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Jewels and Jewelry', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'Europe', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Palestinians', 'rank': 7, 'major': 'N'}, {'name': 'glocations', 'value': 'Gaza Strip', 'rank': 8, 'major': 'N'}]",Foreign,World,23,compound,-0.25
24,24,Imprisoned Palestinians have drafted a joint platform that call for a Palestinian state within the boundary alongside Israel ,2006-05-12 04:00:00+00:00,Imprisoned Palestinians have drafted a joint platform that calls for a Palestinian state within the 1967 boundaries alongside Israel.,"{'main': 'From Prison, a Palestinian Plan to Form a State', 'kicker': None, 'content_kicker': None, 'print_headline': 'From Prison, a Palestinian Plan to Form a State', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Palestinians', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'JERUSALEM', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Palestine Liberation Organization', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Hamas', 'rank': 4, 'major': 'N'}]",Foreign,World,24,compound,-0.4588
25,25,The high profile entry of religious leader feel rising popular pressure on Arab government to break the American and European boycott on the James led Palestinian Authority ,2006-05-12 04:00:00+00:00,The high-profile entry of religious leaders fuels rising popular pressure on Arab governments to break the American and European boycott on the Hamas-led Palestinian Authority.,"{'main': 'Islamic Leaders Call for Aid to Palestinians', 'kicker': None, 'content_kicker': None, 'print_headline': 'Islamic Leaders Call for Aid to Palestinians', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Palestinians', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Palestinian Authority', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Islam', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Boycotts', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Hamas', 'rank': 5, 'major': 'N'}]",Foreign,World,25,compound,-0.1027
26,26,The union is considering a boycott on Israel lecture who do not dissociated themselves from what it called Israel s apartheid policy ,2006-05-14 04:00:00+00:00,"The union is considering a boycott on Israeli lecturers who do not dissociate themselves from what it called Israel's ""apartheid policies.""","{'main': ""A British Teachers' Union Weighs a Boycott of Israeli Teachers"", 'kicker': None, 'content_kicker': None, 'print_headline': ""A British Teachers' Union Weighs a Boycott of Israeli Teachers"", 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Great Britain', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Israel', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Boycotts', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Colleges and Universities', 'rank': 5, 'major': 'N'}]",Foreign,World,26,compound,-0.3182
27,27,The employment is a direct challenge to President Mahmoud Bias s authority He vetoed the creation of the force last month ,2006-05-18 04:00:00+00:00,The deployment is a direct challenge to President Mahmoud Abbas's authority. He vetoed the creation of the force last month.,"{'main': 'Hamas-Led Government Deploys Security Force, Defying Abbas', 'kicker': None, 'content_kicker': None, 'print_headline': 'Hamas-Led Government Deploys Security Force, Defying Abbas', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'Hamas', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'ABBAS, MAHMOUD', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'JERUSALEM', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'West Bank', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'Israel', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Palestinian Authority', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Palestinians', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 8, 'major': 'N'}, {'name': 'glocations', 'value': 'Gaza Strip', 'rank': 9, 'major': 'N'}]",Foreign,World,27,compound,0.3182
28,28,The meeting wa the highest level contact between Israel and the Palestinians since James won January s Palestinian election ,2006-05-22 04:00:00+00:00,The meeting was the highest-level contact between Israel and the Palestinians since Hamas won January's Palestinian elections.,"{'main': 'Israeli Foreign Minister and Abbas Meet at Economic Forum', 'kicker': None, 'content_kicker': None, 'print_headline': 'Israeli Foreign Minister and Abbas Meet at Economic Forum', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'Hamas', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'ABBAS, MAHMOUD', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Olmert, Ehud', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Israel', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Palestinian Authority', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Palestinians', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 7, 'major': 'N'}]",Foreign,World,28,compound,0.5719
29,29,He hope that Crime Minister Thud Alert of Israel and President Rush realize that there will not be peace unless the Palestinians have a say in creating a state that can function ,2006-05-25 04:00:00+00:00,We hope that Prime Minister Ehud Olmert of Israel and President Bush realize that there will not be peace unless the Palestinians have a say in creating a state that can function.,"{'main': 'A Viable Palestinian State', 'kicker': 'Editorial', 'content_kicker': None, 'print_headline': 'A Viable Palestinian State', 'name': None, 'seo': None, 'sub': None}","[{'name': 'persons', 'value': 'Olmert, Ehud', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Palestinians', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Israel', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 4, 'major': 'N'}]",Editorial,Opinion,29,compound,-0.0129
30,30,By riding with Palestinian prisoner Palestinian Crime Minister Mahmoud Bias is hoping to push James to recognize Israel ,2006-05-27 04:00:00+00:00,"By siding with Palestinian prisoners, Palestinian Prime Minister Mahmoud Abbas is hoping to push Hamas to recognize Israel.","{'main': 'Abbas Enlists Prisoners to Unsettle Hamas', 'kicker': 'News Analysis', 'content_kicker': None, 'print_headline': 'Smooth Hand: Abbas Enlists Prisoners to Unsettle Hamas', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Political Prisoners', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Referendums', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Hamas', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'ABBAS, MAHMOUD', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'JERUSALEM', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Palestine Liberation Organization', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'West Bank', 'rank': 7, 'major': 'N'}, {'name': 'glocations', 'value': 'Israel', 'rank': 8, 'major': 'N'}, {'name': 'organizations', 'value': 'Palestinian Authority', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Palestinians', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 11, 'major': 'N'}, {'name': 'glocations', 'value': 'Gaza Strip', 'rank': 12, 'major': 'N'}]",Foreign,World,30,compound,-0.6808
31,31,A British teacher union will vote Monday on boycotting Israel colleague who do not distance themselves from what it call Israel s apartheid policy ,2006-05-28 04:00:00+00:00,"A British teachers' union will vote Monday on boycotting Israeli colleagues who do not distance themselves from what it calls Israel's ""apartheid policies.""","{'main': ""British Academics' Debate Sharpens as Vote on Israel Nears"", 'kicker': None, 'content_kicker': None, 'print_headline': ""British Academics' Debate Sharpens as Vote on Israel Nears"", 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Great Britain', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'United States', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Colleges and Universities', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Israel', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'Canada', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Anti-Semitism', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Palestinians', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Boycotts', 'rank': 8, 'major': 'N'}]",Foreign,World,31,compound,-0.4019
32,32,Lebanese militant fired rickets deep inside northern Israel and Israel responded by coming and shelling militant base in Lebanon ,2006-05-29 04:00:00+00:00,"Lebanese militants fired rockets deep inside northern Israel, and Israel responded by bombing and shelling militant bases in Lebanon.","{'main': 'Israel and Militants Trade Fire Across Lebanese Border', 'kicker': None, 'content_kicker': None, 'print_headline': 'Israel and Militants Trade Fire Across Lebanese Border', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'Hezbollah', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'United Nations', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Lebanon', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'Israel', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'Popular Front for the Liberation of Palestine', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Palestinians', 'rank': 8, 'major': 'N'}, {'name': 'organizations', 'value': 'ISLAMIC JIHAD', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'ARMAMENT, DEFENSE AND MILITARY FORCES', 'rank': 10, 'major': 'N'}]",Foreign,World,32,compound,-0.5574
33,33,Britain s biggest association of higher education instructor voted in favor of a resolution to encourage individual academic to never contact with their counterpart in Israel ,2006-05-30 04:00:00+00:00,Britain's biggest association of higher education instructors voted in favor of a resolution to encourage individual academics to sever contact with their counterparts in Israel.,"{'main': 'British Teachers Favor Call to Boycott Israelis', 'kicker': None, 'content_kicker': None, 'print_headline': 'British Teachers Favor Call to Boycott Israelis', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Great Britain', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Israel', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'ACADEMIC FREEDOM', 'rank': 3, 'major': 'N'}]",Foreign,World,33,compound,0.7184
