row_id,CleanedText,pub_date,abstract,headline,keywords,news_desk,section_name,sentiment_type,sentiment_score
10,The decision to try Zacarias Moussaoui in civilian court followed an often contention debate among senior government official about whether to bring him before a military tribunal ,2001-12-12 05:00:00+00:00,The decision to try Zacarias Moussaoui in civilian court followed an often contentious debate among senior government officials about whether to bring him before a military tribunal.,"{'main': 'Compromise Settles Debate Over Tribunal', 'kicker': 'The Legal Venue', 'content_kicker': None, 'print_headline': 'Compromise Settles Debate Over Tribunal', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'WASHINGTON', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Justice Department', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Crime and Criminals', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 5, 'major': 'N'}]",National,U.S.,compound,0.0
11,The last of five suspected terrorist who made videotaped martyrdom message ha been identified a a heavy set Canadian citizen who wa born in Tunisia ,2002-01-25 05:00:00+00:00,"The last of five suspected terrorists who made videotaped ""martyrdom messages"" has been identified as a heavy-set Canadian citizen who was born in Tunisia.","{'main': 'Attorney General Identifies Fifth Suspected Terrorist', 'kicker': None, 'content_kicker': None, 'print_headline': 'Attorney General Identifies Fifth Suspected Terrorist', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'WASHINGTON', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'AL QAEDA', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Atef, Muhammad', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'World Trade Center', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Attorneys General', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Weights and Measures', 'rank': 7, 'major': 'N'}]",Politics,U.S.,compound,-0.6369
12,of THE UNITED STATES DISTRICT COURT FOR THE EASTERN DISTRICT of VIRGINIA,2002-02-06 05:00:00+00:00,IN THE UNITED STATES DISTRICT COURT FOR THE EASTERN DISTRICT OF VIRGINIA,"{'main': 'Full Text: Government Response to Lindh Petition', 'kicker': None, 'content_kicker': None, 'print_headline': 'Full Text: Government Response to Lindh Petition', 'name': None, 'seo': None, 'sub': None}",[],National,U.S.,compound,0.4215
13,Suspected member of Same bin Laden s Ll Qaeda network were among the men identified in the latest terror alert issued by the F B I government official said today ,2002-02-12 05:00:00+00:00,"Suspected members of Osama bin Laden's Al Qaeda network were among the 17 men identified in the latest terror alert issued by the F.B.I., government officials said today.","{'main': 'Focus of Latest Terrorist Alert Includes Al Qaeda Members', 'kicker': None, 'content_kicker': None, 'print_headline': 'Focus of Latest Terrorist Alert Includes Al Qaeda Members', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'WASHINGTON', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'AL QAEDA', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'bin Laden, Osama', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Attorneys General', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'UNITED STATES ARMAMENT AND DEFENSE', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Suicide and Suicide Attempts', 'rank': 7, 'major': 'N'}]",National,U.S.,compound,-0.4767
14,A federal judge in Virginia said today that trial would begin in late August for John Walker Mind ,2002-02-15 05:00:00+00:00,A federal judge in Virginia said today that trial would begin in late August for John Walker Lindh.,"{'main': 'Late August Trial Date for Lindh Set', 'kicker': None, 'content_kicker': None, 'print_headline': 'Late August Trial Date for Lindh Set', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Virginia (USA)', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Taliban', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Walker, John', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Judges', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Firearms', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Capital Punishment', 'rank': 7, 'major': 'N'}]",National,U.S.,compound,0.0
15,Three Democratic leader today questioned whether the White House is expanding it effort without a clear explanation ,2002-02-28 05:00:00+00:00,Three Democratic leaders today questioned whether the White House is expanding its effort without a clear explanation.,"{'main': ""Top Senate Democrats Question Bush's Handling of War Efforts"", 'kicker': None, 'content_kicker': None, 'print_headline': ""Top Senate Democrats Question Bush's Handling of War Efforts"", 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'Senate', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Daschle, Tom', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 4, 'major': 'N'}]",Politics,U.S.,compound,-0.3786
16,The government today ordered American bank to freeze the asset of nine individual and one organization that it said helped support terrorist activity ,2002-04-19 05:00:00+00:00,The government today ordered American banks to freeze the assets of nine individuals and one organization that it said helped support terrorist activities.,"{'main': 'U.S. Takes Another Step to Stem Flow of Funds to Terrorists', 'kicker': None, 'content_kicker': None, 'print_headline': 'U.S. Takes Another Step to Stem Flow of Funds to Terrorists', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'Treasury Department', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Chemicals', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Labeling and Labels', 'rank': 5, 'major': 'N'}]",Politics,U.S.,compound,-0.0772
17,WASHINGTON Kept â President Rush lowered the nationwide terror alert today in part because of the recent arrest of suspected terrorist near Buffalo the White House said ,2002-09-24 05:00:00+00:00,"WASHINGTON, Sept. 24 â President Bush lowered the nationwide terror alert today, in part because of the recent arrests of suspected terrorists near Buffalo, the White House said.","{'main': ""Bush Lowers the Terror Alert to `Yellow'"", 'kicker': None, 'content_kicker': None, 'print_headline': ""Bush Lowers the Terror Alert to `Yellow'"", 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'AL QAEDA', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 3, 'major': 'N'}]",Politics,U.S.,compound,-0.8934
18,The American military should redouble it effort to develop and deploy nonlethal weapon including incapacitating chemical an expert panel reported on Monday ,2002-11-06 05:00:00+00:00,"The American military should redouble its efforts to develop and deploy nonlethal weapons, including incapacitating chemicals, an expert panel reported on Monday.","{'main': 'Report Urges U.S. to Increase Its Efforts on Nonlethal Weapons', 'kicker': 'Chemical Warfare', 'content_kicker': None, 'print_headline': 'Report Urges U.S. to Increase Its Efforts on Nonlethal Weapons', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'National Research Council', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'National Academy of Sciences', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Biological and Chemical Warfare', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Arms Control and Limitation and Disarmament', 'rank': 5, 'major': 'N'}]",National,U.S.,compound,-0.296
19,The image which reportedly show possible damage to the space scuttle Columbia s left wing could be key evidence in discovering why the scuttle disintegrated upon recently ,2003-02-07 05:00:00+00:00,"The images, which reportedly show possible damage to the space shuttle Columbia's left wing, could be key evidence in discovering why the shuttle disintegrated upon reentry.","{'main': 'NASA Examines Air Force Photos of Shuttle', 'kicker': None, 'content_kicker': None, 'print_headline': 'NASA Examines Air Force Photos of Shuttle', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'National Aeronautics and Space Administration', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'SPACE SHUTTLE', 'rank': 2, 'major': 'N'}]",National,U.S.,compound,-0.4939
20,Federal authority said today that the truck driver wa involved in a plan to bomb the Brooklyn Bridge train in Washington and other target ,2003-06-19 05:00:00+00:00,"Federal authorities said today that the truck driver was involved in a plan to bomb the Brooklyn Bridge, trains in Washington and other targets.","{'main': 'Ohio Truck Driver Pleads Guilty in Plot With Ties to Al Qaeda', 'kicker': None, 'content_kicker': None, 'print_headline': 'Ohio Truck Driver Pleads Guilty in Plot With Ties to Al Qaeda', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'AL QAEDA', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 2, 'major': 'N'}]",National,U.S.,compound,-0.4404
21,The decision could force the dismissal of the indictment against Zacarias Moussaoui the only person facing trial in the U S in connection with the Kept attack ,2003-07-14 05:00:00+00:00,"The decision could force the dismissal of the indictment against Zacarias Moussaoui, the only person facing trial in the U.S. in connection with the Sept. 11 attacks.","{'main': 'Justice Dept. Refuses to Let Qaeda Member Testify', 'kicker': None, 'content_kicker': None, 'print_headline': 'Justice Dept. Refuses to Let Qaeda Member Testify', 'name': None, 'seo': None, 'sub': None}",[],National,U.S.,compound,-0.4767
22,The U S requested Bu Mamma al Nasi s tradition for trying to set up a terrorist camp in Oregon and aiding Ll Qaeda ,2004-05-27 05:00:00+00:00,The U.S. requested Abu Hamza al-Masri's extradition for trying to set up a terrorist camp in Oregon and aiding Al Qaeda.,"{'main': 'Britain Arrests Radical Cleric Who Faces U.S. Terror Charges', 'kicker': None, 'content_kicker': None, 'print_headline': 'Britain Arrests Radical Cleric Who Faces U.S. Terror Charges', 'name': None, 'seo': None, 'sub': None}",[],National,U.S.,compound,-0.6908
23,A Cement said he wa a member of Ll Qaeda and that if he were not allowed to represent himself he would boycott the trial ,2004-08-26 05:00:00+00:00,A Yemeni said he was a member of Al Qaeda and that if he were not allowed to represent himself he would boycott the trial.,"{'main': 'War-Crimes Case at GuantÃ¡namo Base Thrown Into Confusion', 'kicker': None, 'content_kicker': None, 'print_headline': 'War-Crimes Case at GuantÃ¡namo Base Thrown Into Confusion', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Cuba', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'AL QAEDA', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 3, 'major': 'N'}]",National,U.S.,compound,-0.3182
24,SOUTHWEST ,2005-08-24 05:00:00+00:00,SOUTHWEST.,"{'main': 'National Briefing', 'kicker': None, 'content_kicker': None, 'print_headline': 'National Briefing', 'name': None, 'seo': None, 'sub': None}",[],National,U.S.,compound,0.0
25,Three Cement men held for over a year in secret American prison were released last month after a Cement court concluded they had no terrorist tie ,2006-04-05 04:00:00+00:00,Three Yemeni men held for over a year in secret American prisons were released last month after a Yemeni court concluded they had no terrorist ties.,"{'main': 'Yemenis Freed After Transfer From Secret Prisons, Report Says', 'kicker': None, 'content_kicker': None, 'print_headline': 'Yemenis Freed After Transfer From Secret Prisons, Report Says', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'Central Intelligence Agency', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Extradition', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Freedom and Human Rights', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Yemen', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'AMNESTY INTERNATIONAL', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Defense Department', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'AMNESTIES AND PARDONS', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 8, 'major': 'N'}, {'name': 'glocations', 'value': 'Guantanamo Bay Naval Base (Cuba)', 'rank': 10, 'major': 'N'}]",Foreign,World,compound,-0.8807
26,A man accused of murder in Afghanistan threatened to boycott the proceeding pushing effort to start military trial of suspected terrorist into chaos ,2006-04-06 04:00:00+00:00,"A man accused of murder in Afghanistan threatened to boycott the proceedings, pushing efforts to restart military trials of suspected terrorists into chaos.","{'main': 'Boycott Threat Roils GuantÃ¡namo Hearing', 'kicker': None, 'content_kicker': None, 'print_headline': 'Boycott Threat Roils GuantÃ¡namo Hearing', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Guantanamo Bay Naval Base (Cuba)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Courts', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Boycotts', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Defense Department', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Central Intelligence Agency', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 7, 'major': 'N'}, {'name': 'glocations', 'value': 'Canada', 'rank': 8, 'major': 'N'}, {'name': 'glocations', 'value': 'AFGHANISTAN', 'rank': 9, 'major': 'N'}, {'name': 'glocations', 'value': 'United States', 'rank': 10, 'major': 'N'}]",Foreign,World,compound,-0.9702
27,It wa the second such riot in le than two month adding to concern that Ll Qaeda is gaining a new avenue for control ,2006-04-14 04:00:00+00:00,"It was the second such riot in less than two months, adding to concerns that Al Qaeda is gaining a new avenue for control.","{'main': 'Militant Uprising at Jordanian Prison Is Quelled', 'kicker': None, 'content_kicker': None, 'print_headline': 'Militant Uprising at Jordanian Prison Is Quelled', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Jordan', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Demonstrations and Riots', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'AL QAEDA', 'rank': 3, 'major': 'N'}]",Foreign,World,compound,-0.2023
28,The release of suspect from quanti¡name May ha been studied by concern that prisoner may not be treated humanity by their own government ,2006-04-30 04:00:00+00:00,The release of suspects from GuantÃ¡namo Bay has been stymied by concerns that prisoners may not be treated humanely by their own governments.,"{'main': 'U.S. Says It Fears Detainee Abuse in Repatriation', 'kicker': None, 'content_kicker': None, 'print_headline': 'Abuse Concerns Stymie Releases From GuantÃ¡namo', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Guantanamo Bay Naval Base (Cuba)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'UNITED STATES ARMAMENT AND DEFENSE', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 3, 'major': 'N'}]",Foreign,World,compound,-0.5106
29,Evacuees from Mogadishu dream of artillery shell exploding around them and can not get the sound of bonfire out of their head ,2006-05-27 04:00:00+00:00,"Evacuees from Mogadishu dream of artillery shells exploding around them, and cannot get the sound of gunfire out of their heads.","{'main': 'Fugitives From Somali Capital Describe Horrors of War', 'kicker': None, 'content_kicker': None, 'print_headline': 'Fugitives From Somali Capital Describe Horrors of War', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'International Relations', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Islam', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Restoration and Rehabilitation', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Children and Youth', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'Somalia', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'IMMIGRATION AND REFUGEES', 'rank': 7, 'major': 'N'}]",Foreign,World,compound,0.25
30,Fighting in Somalia ha spurred an exudes but the journey to Semen carry risk that rival those on shore ,2006-05-29 04:00:00+00:00,"Fighting in Somalia has spurred an exodus, but the journey to Yemen carries risks that rival those on shore.","{'main': 'Somalis Brave a Sea of Perils for Jobs Abroad', 'kicker': None, 'content_kicker': None, 'print_headline': 'Somalis Brave a Sea of Perils For $50-a-Month Jobs Abroad', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'International Relations', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Ships and Shipping', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Economic Conditions and Trends', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Yemen', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'AL QAEDA', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Coast Guard', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'Somalia', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'IMMIGRATION AND REFUGEES', 'rank': 8, 'major': 'N'}]",Foreign,World,compound,-0.4019
31,Any who fell ill are adult partly because regular vaccination for child in the country began after ,2006-06-10 04:00:00+00:00,"Many who fell ill are adults, partly because regular vaccinations for children in the country began after 1990. ","{'main': 'Polio Takes Unexpected Toll in Namibia', 'kicker': None, 'content_kicker': None, 'print_headline': 'Polio Takes Unexpected Toll in Namibia', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Namibia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Poliomyelitis', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Viruses', 'rank': 3, 'major': 'N'}]",Foreign,Health,compound,-0.4215
